title,company_name,location,reward,link
[Autonomy]Computer Vision Engineer Visual SLAM,뉴빌리티,경력 3년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/290500
[임베디드] 수술로봇/의료기기 SW 엔지니어,엔도로보틱스,신입-경력 15년,합격보상금 100만원,https://www.wanted.co.kr/wd/343152
풀스택 개발자 (콘텐츠플랫폼 사업부/전략기획실),테크랩스,경력 1-6년,합격보상금 100만원,https://www.wanted.co.kr/wd/341494
GeoAI Platform Backend Engineer (중급/고급),스패이드,경력 4년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/342675
Vision AI 분석엔진 코어 개발 및 유지보수,씨이랩,경력 3-10년,합격보상금 100만원,https://www.wanted.co.kr/wd/303825
파이썬 개발자,뉴로다임,경력 5-10년,합격보상금 100만원,https://www.wanted.co.kr/wd/335937
[미리디] 시니어 데이터 사이언티스트 (Senior Data Scientist),미리디,경력 7-14년,합격보상금 100만원,https://www.wanted.co.kr/wd/341550
DevOps,유비케어,경력 3-8년,합격보상금 100만원,https://www.wanted.co.kr/wd/343392
[Autonomy]Computer Vision Engineer Visual SLAM,뉴빌리티,경력 3년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/290500
[임베디드] 수술로봇/의료기기 SW 엔지니어,엔도로보틱스,신입-경력 15년,합격보상금 100만원,https://www.wanted.co.kr/wd/343152
풀스택 개발자 (콘텐츠플랫폼 사업부/전략기획실),테크랩스,경력 1-6년,합격보상금 100만원,https://www.wanted.co.kr/wd/341494
GeoAI Platform Backend Engineer (중급/고급),스패이드,경력 4년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/342675
Vision AI 분석엔진 코어 개발 및 유지보수,씨이랩,경력 3-10년,합격보상금 100만원,https://www.wanted.co.kr/wd/303825
파이썬 개발자,뉴로다임,경력 5-10년,합격보상금 100만원,https://www.wanted.co.kr/wd/335937
[미리디] 시니어 데이터 사이언티스트 (Senior Data Scientist),미리디,경력 7-14년,합격보상금 100만원,https://www.wanted.co.kr/wd/341550
DevOps,유비케어,경력 3-8년,합격보상금 100만원,https://www.wanted.co.kr/wd/343392
[개발자] 의료 영상 AI 모델 개발자,아이넥스코퍼레이션,경력 3-8년,합격보상금 100만원,https://www.wanted.co.kr/wd/342842
보안기술 엔지니어,펜타시큐리티,경력 2-10년,합격보상금 100만원,https://www.wanted.co.kr/wd/339262
백엔드 엔지니어(Python개발),웨이커,경력 3-8년,합격보상금 100만원,https://www.wanted.co.kr/wd/343385
[오케스트로 AGI] AI 모델러,오케스트로,경력 3년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/341519
