title,company_name,location,reward,link
미국 및 글로벌 마케터,뷰스컴퍼니,경력 1-7년,합격보상금 100만원,https://www.wanted.co.kr/wd/331173
백엔드 엔지니어 (시니어),패스트뷰,경력 7-14년,합격보상금 100만원,https://www.wanted.co.kr/wd/340670
LiDAR 센서 알고리즘 개발 및 평가 담당자,솔리드뷰,경력 2-7년,합격보상금 100만원,https://www.wanted.co.kr/wd/337980
Back-end 시니어 개발자(SCM),미트박스글로벌,경력 10년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/336833
글로벌 서비스 제휴 담당자 (영미권),패스트뷰,경력 3-20년,합격보상금 100만원,https://www.wanted.co.kr/wd/314750
뷰티브랜드 BM,프롬비트,경력 4-6년,합격보상금 100만원,https://www.wanted.co.kr/wd/322035
[뷰티사업본부] 신규 브랜드 총괄팀장,이그니스,경력 7년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/321775
[인턴] 글로벌(북미) 뷰티브랜드 인플루언서 콘텐츠 마케터,그린컨티뉴,신입 · 인턴,합격보상금 100만원,https://www.wanted.co.kr/wd/334308
미국 및 글로벌 마케터,뷰스컴퍼니,경력 1-7년,합격보상금 100만원,https://www.wanted.co.kr/wd/331173
백엔드 엔지니어 (시니어),패스트뷰,경력 7-14년,합격보상금 100만원,https://www.wanted.co.kr/wd/340670
LiDAR 센서 알고리즘 개발 및 평가 담당자,솔리드뷰,경력 2-7년,합격보상금 100만원,https://www.wanted.co.kr/wd/337980
Back-end 시니어 개발자(SCM),미트박스글로벌,경력 10년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/336833
글로벌 서비스 제휴 담당자 (영미권),패스트뷰,경력 3-20년,합격보상금 100만원,https://www.wanted.co.kr/wd/314750
뷰티브랜드 BM,프롬비트,경력 4-6년,합격보상금 100만원,https://www.wanted.co.kr/wd/322035
[뷰티사업본부] 신규 브랜드 총괄팀장,이그니스,경력 7년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/321775
[인턴] 글로벌(북미) 뷰티브랜드 인플루언서 콘텐츠 마케터,그린컨티뉴,신입 · 인턴,합격보상금 100만원,https://www.wanted.co.kr/wd/334308
화장품 웹 디자이너 (8년 이상),디럭스뷰티,경력 8-16년,합격보상금 100만원,https://www.wanted.co.kr/wd/342664
코어클럽 영상편집자,파인유얼뷰티,경력 1년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/340594
[Biodance] UK Performance Marketing Manager,뷰티셀렉션,경력 3-8년,합격보상금 100만원,https://www.wanted.co.kr/wd/342018
[코이] 뷰티브랜드 브랜드콘텐츠 기획자,브랜드홀더,경력 8-12년,합격보상금 100만원,https://www.wanted.co.kr/wd/341483
